oyez_identifier,n_test_rows,bow_auc,bow_ci_lo,bow_ci_hi,emb_auc,emb_ci_lo,emb_ci_hi,lift_emb_minus_bow
sandra_day_oconnor,3,1.0,,,1.0,,,0.0
clarence_thomas,58,0.537888198757764,0.3858082386363636,0.675393675482855,0.7304347826086957,0.5878518325290205,0.854570707070707,0.1925465838509317
brett_m_kavanaugh,78,0.64,0.4978412698412698,0.7813961794019934,0.6821428571428572,0.5599945652173912,0.8068842148189974,0.04214285714285715
ketanji_brown_jackson,36,0.4055727554179567,0.2228328173374613,0.5976314356151816,0.6346749226006192,0.4155663222226689,0.8179224537037036,0.22910216718266252
amy_coney_barrett,55,0.5042016806722689,0.3492961711711712,0.6640873015873014,0.6218487394957983,0.4401494565217391,0.7813906432748537,0.11764705882352944
samuel_a_alito_jr,231,0.5977147360126083,0.5174507794660537,0.6694967558157937,0.6003940110323089,0.5259155541916014,0.6779509375727929,0.0026792750197006665
antonin_scalia,138,0.5584183673469388,0.4488692506043863,0.6719710178021348,0.5938775510204082,0.4865260503447405,0.6948540666266506,0.03545918367346934
john_g_roberts_jr,255,0.4889965397923875,0.4165067878740753,0.5573363350777095,0.5747404844290657,0.5053278235707895,0.647063430635412,0.08574394463667817
john_paul_stevens,74,0.5625,0.421170546932742,0.6918144863266815,0.5676470588235294,0.4380658801063902,0.703703068624299,0.0051470588235293935
david_h_souter,62,0.5756613756613755,0.4172625921375922,0.7195894383394384,0.5671957671957673,0.4151200046200046,0.7105677464298155,-0.008465608465608288
sonia_sotomayor,188,0.5271561771561771,0.4421340765288793,0.6075534214950956,0.5641025641025641,0.4832789752312196,0.6423778430404936,0.036946386946386967
neil_gorsuch,87,0.4482758620689655,0.3165102905569008,0.5748925830243035,0.5368608799048752,0.4038310117302053,0.6634374159268226,0.08858501783590966
elena_kagan,170,0.4577142857142857,0.3652821428571428,0.5493267530294378,0.5272857142857142,0.4373064089017597,0.6108727149879836,0.06957142857142856
anthony_m_kennedy,167,0.6205685618729098,0.5282262705488681,0.7048284225655765,0.5192307692307692,0.4190745005661134,0.616038439330569,-0.1013377926421406
ruth_bader_ginsburg,191,0.4834459459459459,0.3998501192280398,0.5660157882124511,0.5155405405405404,0.4313489751161446,0.5959471828808214,0.03209459459459452
stephen_g_breyer,214,0.4622926093514329,0.3765026303483921,0.5472351941441062,0.5049019607843137,0.4274100706293365,0.5758199697268882,0.042609351432880804
