model,rank,direction,feature,coefficient
linear_svc,1,petitioner (positive),officer,0.21863243241973468
linear_svc,2,petitioner (positive),circuit,0.20698947786034635
linear_svc,3,petitioner (positive),attorney,0.1603766845020773
linear_svc,4,petitioner (positive),arrest,0.15593491695168152
linear_svc,5,petitioner (positive),know,0.14907509649924344
linear_svc,6,petitioner (positive),plan,0.14020409066543899
linear_svc,7,petitioner (positive),misleading,0.13053723111068055
linear_svc,8,petitioner (positive),counsel,0.13015346238750844
linear_svc,9,petitioner (positive),ninth,0.12690944689590122
linear_svc,10,petitioner (positive),religious,0.12670104693473286
linear_svc,11,petitioner (positive),profits,0.12609987267101508
linear_svc,12,petitioner (positive),standard,0.12198974469690518
linear_svc,13,petitioner (positive),say,0.116161247045419
linear_svc,14,petitioner (positive),standing,0.11605023070171254
linear_svc,15,petitioner (positive),discrimination,0.11380819708140186
linear_svc,16,petitioner (positive),party,0.11250733365676292
linear_svc,17,petitioner (positive),thank,0.1115136381672657
linear_svc,18,petitioner (positive),need,0.10744826928390483
linear_svc,19,petitioner (positive),factor,0.10286622122792516
linear_svc,20,petitioner (positive),justice,0.10118428055489645
linear_svc,21,petitioner (positive),patent,0.09989781107096667
linear_svc,22,petitioner (positive),motion,0.0997111974569201
linear_svc,23,petitioner (positive),church,0.09949227309876914
linear_svc,24,petitioner (positive),bankruptcy,0.09658763567474828
linear_svc,25,petitioner (positive),guilty,0.09509061992609284
linear_svc,26,petitioner (positive),arbitration,0.0949872609009537
linear_svc,27,petitioner (positive),supreme,0.09434322053728299
linear_svc,28,petitioner (positive),reasonable,0.09358417667828962
linear_svc,29,petitioner (positive),jurisdiction,0.09314724720375078
linear_svc,30,petitioner (positive),taking,0.09260142253752239
linear_svc,1,respondent (negative),jury,-0.19845357003133546
linear_svc,2,respondent (negative),evidence,-0.17957883364667265
linear_svc,3,respondent (negative),government,-0.15933298308566796
linear_svc,4,respondent (negative),trial,-0.15923075927456584
linear_svc,5,respondent (negative),sentence,-0.15767253199065354
linear_svc,6,respondent (negative),percent,-0.1558991085054893
linear_svc,7,respondent (negative),petition,-0.13981160149698918
linear_svc,8,respondent (negative),error,-0.13532855704335595
linear_svc,9,respondent (negative),fraud,-0.13529022391313592
linear_svc,10,respondent (negative),insurance,-0.12858983942085617
linear_svc,11,respondent (negative),10,-0.12489323178388095
linear_svc,12,respondent (negative),year,-0.12413825575915671
linear_svc,13,respondent (negative),indian,-0.12399879790332824
linear_svc,14,respondent (negative),expenses,-0.11636920312504064
linear_svc,15,respondent (negative),hours,-0.11634307031015663
linear_svc,16,respondent (negative),delegation,-0.11459958273036575
linear_svc,17,respondent (negative),conspiracy,-0.11444301513633494
linear_svc,18,respondent (negative),sentencing,-0.1135769830100541
linear_svc,19,respondent (negative),records,-0.11337781973924835
linear_svc,20,respondent (negative),bank,-0.11144915528917972
linear_svc,21,respondent (negative),grand,-0.10810757770132609
linear_svc,22,respondent (negative),new,-0.1062602046879115
linear_svc,23,respondent (negative),discovery,-0.1050329660786882
linear_svc,24,respondent (negative),old,-0.10499606350243644
linear_svc,25,respondent (negative),conflict,-0.10393073329355003
linear_svc,26,respondent (negative),limitations,-0.10344700075505536
linear_svc,27,respondent (negative),school,-0.10339068537627161
linear_svc,28,respondent (negative),rights,-0.10186872840596581
linear_svc,29,respondent (negative),purpose,-0.1004204552431567
linear_svc,30,respondent (negative),let,-0.0987796277449454
