track,oyez_identifier,n_test_rows,model_accuracy,petitioner_rate_train,per_justice_baseline,lift_over_baseline
bow,amy_coney_barrett,55.0,0.5636363636363636,0.6467661691542289,0.6467661691542289,-0.08312980551786531
bow,anthony_m_kennedy,167.0,0.5988023952095808,0.6661654135338346,0.6661654135338346,-0.06736301832425384
bow,antonin_scalia,138.0,0.5,0.6171735241502684,0.6171735241502684,-0.11717352415026838
bow,brett_m_kavanaugh,78.0,0.6923076923076923,0.6813559322033899,0.6813559322033899,0.010951760104302433
bow,clarence_thomas,58.0,0.4827586206896552,0.6051502145922747,0.6051502145922747,-0.1223915939026195
bow,david_h_souter,62.0,0.6129032258064516,0.6028708133971292,0.6028708133971292,0.0100324124093224
bow,elena_kagan,170.0,0.5,0.6176470588235294,0.6176470588235294,-0.11764705882352944
bow,john_g_roberts_jr,255.0,0.5725490196078431,0.6617933723196882,0.6617933723196882,-0.08924435271184505
bow,john_paul_stevens,74.0,0.5405405405405406,0.5581395348837209,0.5581395348837209,-0.017598994343180352
bow,ketanji_brown_jackson,36.0,0.4166666666666667,0.6666666666666666,0.6666666666666666,-0.24999999999999994
bow,neil_gorsuch,87.0,0.5402298850574713,0.654178674351585,0.654178674351585,-0.11394878929411378
bow,ruth_bader_ginsburg,191.0,0.46596858638743455,0.5828065739570164,0.5828065739570164,-0.11683798756958186
bow,samuel_a_alito_jr,231.0,0.5584415584415584,0.6021739130434782,0.6021739130434782,-0.04373235460191982
bow,sandra_day_oconnor,3.0,1.0,0.6,0.6,0.4
bow,sonia_sotomayor,188.0,0.5212765957446809,0.6039850560398505,0.6039850560398505,-0.08270846029516965
bow,stephen_g_breyer,214.0,0.4953271028037383,0.6213704994192799,0.6213704994192799,-0.1260433966155416
embeddings,amy_coney_barrett,55.0,0.6727272727272727,0.6467661691542289,0.6467661691542289,0.02596110357304382
embeddings,anthony_m_kennedy,167.0,0.5568862275449101,0.6661654135338346,0.6661654135338346,-0.1092791859889245
embeddings,antonin_scalia,138.0,0.5,0.6171735241502684,0.6171735241502684,-0.11717352415026838
embeddings,brett_m_kavanaugh,78.0,0.6666666666666666,0.6813559322033899,0.6813559322033899,-0.014689265536723228
embeddings,clarence_thomas,58.0,0.6379310344827587,0.6051502145922747,0.6051502145922747,0.03278081989048398
embeddings,david_h_souter,62.0,0.5806451612903226,0.6028708133971292,0.6028708133971292,-0.022225652106806604
embeddings,elena_kagan,170.0,0.5294117647058824,0.6176470588235294,0.6176470588235294,-0.08823529411764708
embeddings,john_g_roberts_jr,255.0,0.5529411764705883,0.6617933723196882,0.6617933723196882,-0.10885219584909989
embeddings,john_paul_stevens,74.0,0.5,0.5581395348837209,0.5581395348837209,-0.05813953488372092
embeddings,ketanji_brown_jackson,36.0,0.6388888888888888,0.6666666666666666,0.6666666666666666,-0.02777777777777779
embeddings,neil_gorsuch,87.0,0.5977011494252874,0.654178674351585,0.654178674351585,-0.05647752492629765
embeddings,ruth_bader_ginsburg,191.0,0.4869109947643979,0.5828065739570164,0.5828065739570164,-0.09589557919261849
embeddings,samuel_a_alito_jr,231.0,0.5757575757575758,0.6021739130434782,0.6021739130434782,-0.026416337285902425
embeddings,sandra_day_oconnor,3.0,0.6666666666666666,0.6,0.6,0.06666666666666665
embeddings,sonia_sotomayor,188.0,0.48936170212765956,0.6039850560398505,0.6039850560398505,-0.11462335391219097
embeddings,stephen_g_breyer,214.0,0.5280373831775701,0.6213704994192799,0.6213704994192799,-0.09333311624170981
